source_task,target_task,seed,source_matrix,target_matrix,is_identity_pair,probe_steps,task_gradient_norm,C_mse_avg_grad,C_mse_mean_cosine,mse_gradient_norm,task_mse_dot_product,raw_mse_distance,C_wasserstein_avg_grad,C_wasserstein_mean_cosine,wasserstein_gradient_norm,task_wasserstein_dot_product,raw_wasserstein_distance,C_kl_avg_grad,C_kl_mean_cosine,kl_gradient_norm,task_kl_dot_product,raw_kl_distance,zero_shot_source_return,zero_shot_source_success_rate,matrix_frobenius_distance,matrix_operator_distance,scratch_auc,transfer_auc,delta_auc,scratch_early_return,transfer_early_return,early_return_difference,scratch_final_return,transfer_final_return,final_return_difference,scratch_steps_to_success,transfer_steps_to_success,scratch_max_return,transfer_max_return,max_return_difference
1,1,1,"[[0.7071067690849304, -0.7071067690849304], [0.7071067690849304, 0.7071067690849304]]","[[0.7071067690849304, -0.7071067690849304], [0.7071067690849304, 0.7071067690849304]]",True,500,0.506924594193697,0.973875880241394,0.6044279059395194,12.501693773269654,3.192918300628662,7.421231317520141,0.9739195704460144,0.6044461103156209,12.501729393005371,3.193070888519287,7.421826100349426,0.7261149883270264,0.46162112317979337,22.305916213989256,4.264190196990967,10.100108551979066,-3.209817539062351,1.0,0.0,0.0,-573720.8872010931,-338764.5407287404,234956.34647235274,-54.105133932456376,-52.775667338445786,1.32946659401059,-10.48243083395064,-6.734779157117009,3.7476516768336303,3000,2000,-8.878467274084688,-6.734779157117009,2.143688116967679
1,2,1,"[[0.7071067690849304, -0.7071067690849304], [0.7071067690849304, 0.7071067690849304]]","[[6.123234262925839e-17, -1.0], [1.0, 6.123234262925839e-17]]",False,500,0.447830955684185,0.4728779196739197,0.28193572433228836,13.705975437164307,1.5858814716339111,8.10084433555603,0.4730883240699768,0.2820752008658019,13.706009483337402,1.586591124534607,8.101463460922242,0.28882601857185364,0.17757437098771334,24.41953115463257,1.7272570133209229,11.008060717582703,-23.12976315096021,0.0,1.0823922157287598,0.7653668522834778,-625176.9437806681,-785173.9254876971,-159996.98170702904,-27.4618024174124,-51.865831159800294,-24.404028742387894,-10.40426008105278,-19.123393811658026,-8.719133730605247,1000,5000,-8.557406967878341,-19.123393811658026,-10.565986843779685
1,3,1,"[[0.7071067690849304, -0.7071067690849304], [0.7071067690849304, 0.7071067690849304]]","[[-1.0, -1.2246468525851679e-16], [1.2246468525851679e-16, -1.0]]",False,500,0.4658557206392288,-0.9748417735099792,-0.6151986736804247,23.162738800048828,-6.8878493309021,19.75981750488281,-0.9748775362968445,-0.6152201630175114,23.16275796890259,-6.888107776641846,19.760422134399413,-0.6124757528305054,-0.4000976111739874,49.87398071289063,-9.36401081085205,26.87326536178589,-334.68447865843774,0.0,2.613126039505005,1.8477591276168823,-546148.0095352046,-5904235.781730711,-5358087.772195507,-108.84572503864766,-169.49727620482446,-60.6515511661768,-12.223177668638527,-330.6406821012497,-318.41750443261117,3000,,-9.306585986353458,-150.5492068618536,-141.24262087550014
1,4,1,"[[0.7071067690849304, -0.7071067690849304], [0.7071067690849304, 0.7071067690849304]]","[[1.5, 0.0], [0.0, 0.6000000238418579]]",False,500,0.645305747538805,0.400657594203949,0.32504991106688974,13.069066631793977,2.6942219734191895,8.527889120578767,0.4006619155406952,0.3251972269266844,13.069105517864227,2.694258213043213,8.528491270542144,0.2955152094364166,0.22645356137072667,24.27490839958191,3.7053403854370117,11.601250076293946,-18.11226554363966,0.0,1.280683994293213,1.2358598709106445,-325330.1621366292,-617202.2439589724,-291872.08182234317,-31.489894549548627,-68.16122359260916,-36.67132904306054,-7.578287696093321,-18.725101551041007,-11.146813854947686,1000,3000,-7.4160995783284305,-11.770808624476194,-4.3547090461477636
1,5,1,"[[0.7071067690849304, -0.7071067690849304], [0.7071067690849304, 0.7071067690849304]]","[[1.0, 0.75], [0.0, 1.0]]",False,500,0.49745397120714185,-0.009160472080111504,-0.04261108161881566,22.279815673828125,-0.070188507437706,16.439474725723265,-0.009209285490214825,-0.04265251522883773,22.27983636856079,-0.07056258618831635,16.440087604522706,0.01940343715250492,-0.007061902020359412,44.646529579162596,0.300136923789978,22.351329135894776,-46.26542183496058,1.0,1.6717455387115479,1.4960448741912842,-760921.911499463,-1176802.2572202608,-415880.3457207978,-49.056526362895966,-93.02283391952514,-43.966307556629175,-13.78332995288074,-35.12179488241672,-21.33846492953598,6000,8000,-9.77776143886149,-16.46193266250193,-6.6841712236404405
1,6,1,"[[0.7071067690849304, -0.7071067690849304], [0.7071067690849304, 0.7071067690849304]]","[[-1.0, 0.0], [0.0, 1.0]]",False,500,0.49366540238261225,-0.9402597546577454,-0.5703833946958184,22.929036331176757,-7.157543182373047,17.34227533340454,-0.9402883052825928,-0.5704008651897311,22.929055976867676,-7.157767295837402,17.342889738082885,-0.6081621050834656,-0.3707567311823368,46.599397850036624,-9.44790267944336,23.579321479797365,-334.7693540930748,0.0,2.0,2.0,-571580.7534655556,-5920097.298826277,-5348516.545360722,-101.92134621441365,-165.98020169436933,-64.05885547995568,-12.179113970324398,-331.84841443300246,-319.66930046267805,4000,,-12.119356999360026,-144.35874350368977,-132.23938650432973
1,7,1,"[[0.7071067690849304, -0.7071067690849304], [0.7071067690849304, 0.7071067690849304]]","[[0.9192387461662292, -0.4949747323989868], [0.9192387461662292, 0.4949747323989868]]",False,500,0.5666944965720176,0.9894655346870422,0.5766797796823084,13.418407726287843,4.312016487121582,8.422080159187317,0.9895437955856323,0.576779849641025,13.4184419631958,4.312368392944336,8.422686910629272,0.6908107399940491,0.3892040017992258,24.51982774734497,5.516572952270508,11.457283449172973,-15.717240789160133,0.0,0.42426401376724243,0.30000001192092896,-383573.2097974047,-498308.0691711977,-114734.859373793,-54.34565655142069,-60.31309314109385,-5.967436589673163,-8.74157724864781,-6.61700828410685,2.124568964540959,3000,3000,-8.703072801977395,-6.61700828410685,2.086064517870545
2,0,1,"[[6.123234262925839e-17, -1.0], [1.0, 6.123234262925839e-17]]","[[1.0, 0.0], [0.0, 1.0]]",False,500,0.564748752117157,-0.287377268075943,-0.17991579584777356,14.026524925231934,-1.5696967840194702,7.464491128921509,-0.287484347820282,-0.1800102305598557,14.026565074920654,-1.5702863931655884,7.465246677398682,-0.17164404690265656,-0.11578655391931533,26.179756832122802,-1.7634683847427368,10.157741975784301,-116.3098392099142,0.0,2.0,1.4142135381698608,-438832.5289912522,-1714482.0134587586,-1275649.4844675064,-61.62903300821781,-81.70387438386679,-20.07484137564898,-11.5278660684824,-67.01574862599372,-55.48788255751133,3000,,-8.78610766120255,-67.01574862599372,-58.22964096479117
2,1,1,"[[6.123234262925839e-17, -1.0], [1.0, 6.123234262925839e-17]]","[[0.7071067690849304, -0.7071067690849304], [0.7071067690849304, 0.7071067690849304]]",False,500,0.506924594193697,0.710088849067688,0.4295077105984092,10.884952974319457,1.987856388092041,5.704839158058166,0.7101505994796753,0.4295300358440727,10.885003519058227,1.9880390167236328,5.705578279495239,0.49997973442077637,0.32493355359183623,20.164286136627197,2.6340298652648926,7.76495680809021,-22.50048459842801,0.0,1.0823922157287598,0.7653668522834778,-573720.8872010931,-644102.0513247699,-70381.16412367672,-54.105133932456376,-21.25521069057286,32.849923241883516,-10.48243083395064,-23.15685105100274,-12.6744202170521,3000,1000,-8.878467274084688,-11.508237356320024,-2.6297700822353356
2,2,1,"[[6.123234262925839e-17, -1.0], [1.0, 6.123234262925839e-17]]","[[6.123234262925839e-17, -1.0], [1.0, 6.123234262925839e-17]]",True,500,0.447830955684185,0.9722000956535339,0.43911867775022984,11.236777520179748,2.649914503097534,5.776266169548035,0.9725142121315002,0.4393101803958416,11.23682918548584,2.650783061981201,5.777037572860718,0.6406323313713074,0.28218230316415427,20.626824474334718,3.2310678958892822,7.845363759994507,-4.631612888164819,1.0,0.0,0.0,-625176.9437806681,-255178.86749710888,369998.0762835592,-27.4618024174124,-21.815053837001322,5.646748580411078,-10.40426008105278,-8.203336114436388,2.200923966616392,1000,1000,-8.557406967878341,-7.277349151298404,1.2800578165799372
